sl_style,sl_localisation,sl_nb_chambre,sl_taille,sl_prix,sl_paragraphe,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_annee,sl_etage,sl_hauteur,sl_ascenseur,sl_vue,sl_cave,sl_parking,sl_chemine,sl_exposition,sl_balcon,sl_terrasse,sl_gardien,sl_travaux,sl_neuf,sl_parquet,sl_cuisine,sl_vis_a_vis,sl_jardin,sl_piscine,sl_nb_piece
Appartement,Quartier Auteuil Sud,1 chambre,"55,75m²",595 000 €,"Appartement 3 pièces en étage élevé comprenant une entrée, un double séjour avec cheminée (possibilité de deuxième chambre), une chambre, une cuisine indépendante équipée, une salle de bains, un dressing et un WC séparé. Immeuble avec ascenseur des années 30, belle hauteur sous plafond, parquet, moulures. L'appartement est complété par une grande cave. L'accès à l'immeuble est sécurisé avec digicode et gardien. Rafraichissement à prévoir. Auteuil Sud, proche Exelmans. Dont 4.39 % honoraires TTC à la charge de l'acquéreur. Copropriété de 63 lots (Pas de procédure en cours). Charges annuelles: 3305.00 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1936,Au 4ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,"5,5m² Cave",Non reference,Non reference,Orientation Ouest,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Muette Nord,25m²,14 800 € / m²,370 000 €,"LA MUETTE. RUE CORTAMBERT. Immeuble récent de standing idéalement situé, au 4ème étage, studio de 24,35m² (loi Carrez) avec balcon filant de 6m² orienté sud-est, au calme, sans aucun vis-à-vis. Entrée, pièce principale, cuisine séparée, salle de bains avec toilettes. Cave. Diagnostics en cours de réalisation. Exclusivité.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1970,Au 4ème étage,Bâtiment de 7 étages,Ascenseur,Vue,4m² Cave,Non reference,Non reference,Orientation Sud-Est,6m² Balcon,1 Terrasse,Non reference,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,1 pièce
Appartement,Quartier Auteuil Sud,1 chambre,"44,59m²",455 000 €,"Avenue de VERSAILLES / EFFICITY l'agence qui estime votre bien vous propose un joli deux pièces lumineuses au 5ème et dernier étage sans ascenseur, Composé d'un séjour avec cuisine américaine entièrement équipée, d'une chambre et d'une salle de bain WC, placards, Belle distribution des pièces.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1900,Au 5ème étage,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Orientation Ouest,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine,Non reference,Non reference,Non reference,2 pièces
Appartement,,3 chambres,"153,36m²",2 130 000 €,"Paris 16 - Marceau / Iéna - À la limite du Triangle d'or: Appartement 3 chambres situé au 3ème étage d'un bel immeuble en pierre de taille, d'une surface de 153 m² composé d'une entrée, d'une Pièce à vivre de près de 45 m² disposant d'un balcon exposé Sud, une cuisine, trois chambres dont deux sur cour, une salle de bains, une salle d'eau, deux toilettes, un débarras sur le palier de service. Cet appartement offre une jolie vue sur la Tour Eiffel ainsi qu'une belle hauteur sous plafond. Parquet en Pointe de Hongrie, moulures et cheminées. L'immeuble est bien entretenu et équipé d'un ascenseur. Deux caves et deux débarras dans la cour complètent ce bien. Prix HAI.: Honoraires d'Agence Inclus. Les honoraires sont à la charge de l'acquéreur ce qui permet aux acheteurs de réaliser une économie sur les frais de notaire en payant des frais de notaire que sur le prix net vendeur et non pas sur le prix Honoraires d'Agence Inclus. Copropriété de 11 lots (Pas de procédure en cours). Charges annuelles: 5200.00 euros.",Non reference,1 Salle de bain,2 Toilettes,Non reference,Au 3ème étage,Non reference,Ascenseur,Vue,Non reference,Non reference,Non reference,Orientation Sud,1 Balcon,Non reference,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Auteuil Sud,1 chambre,35m²,359 000 €,"Coup de coeur assuré pour cet appartement entièrement refait à neuf et entièrement équipé, qui comprend une entrée avec penderie, un séjour cathédrale avec 3,80 M de hauteur sous plafond, une chambre en mezzanine avec rangements (11 m² au sol), une cuisine entièrement équipée, une salle d'eau et un WC séparé. Appartement de 24 m² carrez et mezzanine parfaitement aménagée au calme sur cour au rez-de-chaussée. Il est complété par une cave. Profession libérale acceptée. Dont 5.28 % honoraires TTC à la charge de l'acquéreur. Copropriété de 38 lots (Pas de procédure en cours). Charges annuelles: 780.00 euros.",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1890,Non reference,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine américaine équipée,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Muette Sud,1 chambre,"64,3m²",780 000 €,"Rue de l'Assomption 75016 Paris - Beau 2 pièces de 64.30 m² au 2ème étage avec ascenseur d'un immeuble récent de très bon standing avec gardien, composé d'une entrée, une belle pièce à vivre donnant sur un balcon/terrasse de 10.70 m², une cuisine séparée à refaire (possible de faire une cuisine Américaine), une chambre avec balcon, une salle de bains, un WC séparé, calme et lumineux, chauffage et eau individuels électriques, une cave. Métro Ranelagh ligne 9 et RER C Maison de la Radio. Immeuble très bien entretenu. Charges de copro: 290 euros/mois.",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 2ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,1 Terrasse,Gardien,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Auteuil Nord,1 chambre,"58,42m²",735 000 €,"Stéphane Plaza Immobilier vous propose dans un immeuble en pierres de taille du Boulevard Suchet, un appartement 2 pièces de 58,42 m² composé d'une entrée, un séjour, une chambre, une salle d'eau, une cuisine, des WC séparés et de nombreux rangements. Possibilité de le transformer en 3 pièces. Cave en sous-sol. Parking en sus dont 5.00 % honoraires TTC à la charge de l'acquéreur. Copropriété de 1016 lots (Pas de procédure en cours). Charges annuelles: 3372.00 euros.",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1935,Au 1er étage,Bâtiment de 5 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Porte Dauphine,2 chambres,152m²,2 300 000 €,"Paris 16e Flandrin. Très bel appartement en parfait état rénové par un architecte, en étage élevé avec ascenseur, dans un immeuble de grand standing composé d'une entré, un vaste séjour, une spacieuse cuisine équipée dinatoire, deux très belles suites avec salles de bains et salle douche à l'italienne, un dressing, WC séparé. Belles prestations, lumineux, avec une belle hauteur sous plafond, à proximité des commerces et des écoles (Longchamp, Janson de Sailly). Une cave complète ce bien.",Non reference,Non reference,1 Toilette,Non reference,Au 4ème étage,Bâtiment de 5 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Muette Nord,2 chambres,61m²,820 000 €,Paris 16 - PASSY / PLACE DU COSTA RICA.,Non reference,1 Salle de bain,1 Toilette,Année de construction 1910,Au 1er étage,Non reference,Ascenseur,Vue,Non reference,Non reference,Non reference,Orientation Est,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Auteuil Sud,2 chambres,"92,21m²",1 100 000 €,"Situé 7ème étage dans une rue calme, cet appartement est à la fois calme et lumineux. Rénové complètement il y a 5 ans, il est en très bon état d'usage et bénéficie d'un plan optimisé. Immédiatement utilisable en 2 ou 3 chambres. Entrée, double séjour donnant sur balcon, cuisine, deux chambres, salle de bains, salle de douche et WC séparés. Une cave complète de bien rare.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1959,Au 7ème étage,Bâtiment de 9 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Sud,3m² Balcon,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Auteuil Sud,2 chambres,72m²,792 330 €,"Molitor-Porte d'Auteuil, au 1er étage d'un immeuble art déco sécurisé, ce beau 3 pièces de 72 m² avec ascenseur et gardien sera vous séduire. A proximité de la Piscine Molitor, entre Rolland Garros et l'hippodrome d'Auteuil et des transports, cet appartement comprend: une entrée, une belle pièce à vivre, une cuisine aménagée et équipée, un double dressing, deux belles chambres donnant sur balcon, une salle d'eau et WC séparé.",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1950,Au 1er étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Gardien,Non reference,Refait à neuf,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Auteuil Nord,4 chambres,124m²,1 159 000 €,"À proximité de la Maison de la Radio et du Métro Mirabeau / SectorisationJean Baptiste Say - Au 2ème étage avec ascenseur d'un immeuble bien entretenu, Moriss immobilier est heureux de vous présenter en exclusivité cet appartement entièrement à rénover de 6 pièces d'une surface de 123 m² composé comme suit; une entrée en étoile, un double séjour exposé OUEST sans vis-à-vis, une cuisine indépendante avec balcon de 2 m², trois chambres dont une avec un balcon de 2 m² donnant sur cour au calme et une avec une salle d'eau, un bureau / chambre bébé, une salle de bains avec douche et baignoire et un WC séparé.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1970,Au 2ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,4m² Cave,Non reference,Non reference,Orientation Ouest,4m² Balcon,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,6 pièces
Appartement,Quartier Auteuil Sud,1 chambre,"44,59m²",455 000 €,"Avenue de VERSAILLES / EFFICITY l'agence qui estime votre bien vous propose un joli deux pièces lumineuses au 5ème et dernier étage sans ascenseur, Composé d'un séjour avec cuisine américaine entièrement équipée, d'une chambre et d'une salle de bain WC, placards, Belle distribution des pièces.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1900,Au 5ème étage,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Orientation Ouest,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Auteuil Sud,4 chambres,110m²,990 000 €,"Métro Exelmans - Baigné de soleil. Appartement de 5 pièces, 3/4 chambres, situé au 3ème étage par ascenseur, au calme sur jardin et sur rue peu passante. Entrée avec dressing, séjour de 35m² sur rue avec balcon filant cuisine (12m²) attenante séparée du séjour par une cloison amovible. 3 chambres sur jardin sans vis à vis, 2 salles de bains. Nombreux rangements. Cave digicode, gardien. Possibilité d'acquérir EN SUS: grand emplacement de parking + studio de service (12m² en rez-de-jardin avec douche + kitchenette). Sectorisation collège CLAUDE BERNARD - Nombreux commerces à proximité D2-13H01062020 ** Didierlaurent **.",Non reference,2 Salles de bain,1 Toilette,Année de construction 1960,Au 3ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,5m² Cave,1 Parking,Non reference,Orientation Est,8 Balcons,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Auteuil Sud,2 chambres,"69,5m²",845 000 €,"A deux pas du métro Exelmans, proche commodités, dans une copropriété années 1950 en excellent état, au 3ème étage avec ascenseur, nous vous proposons un appartement traversant et familial avec cachet de 69,5m² en cours de rénovation, de 3-4 pièces, avec une entrée desservant un double séjour et une cuisine ouverte, deux chambres côté cour (calmes avec vue dégagée et Tour Eiffel en fond), une salle de bain et un WC séparé. Une cave complète ce bien. Possibilité de parking dans la copropriété en sus. A visiter rapidement. Dont 1.32 % honoraires TTC à la charge de l'acquéreur. Copropriété de 189 lots (Pas de procédure en cours). Charges annuelles: 3600.00 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1956,Au 3ème étage,Bâtiment de 9 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine américaine,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Muette Nord,33m²,11 667 € / m²,385 000 €,"ASSOMPTION / MOZART: GRAND STUDIO Situé au 3ème étage sur cour d'un immeuble de standing, charmant studio de 33 m², lumineux et en très bon état. Il comprend une entrée, une cuisine ouverte, un salon donnant sur un agréable jardin, une salle d'eau et WC indépendant. En annexe, une cave. Proche commerces et commodités.",1 Salle d'eau,Non reference,Non reference,Année de construction 1963,Au 3ème étage,Bâtiment de 9 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud-Est,Non reference,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,1 pièce
Appartement,Quartier Muette Sud,1 chambre,54m²,850 000 €,"La restauration minutieuse des éléments d'époque fait de cet immeuble un fascinant emblème du Quartier de Passy. Cet immeuble dispose d'une conciergerie, d'espaces communs tels qu'une salle de sport, un appartement d'invités, une cuisine collective, parking",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1930,Au 2ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Gardien,Non reference,Refait à neuf,Parquet,Cuisine américaine,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Muette Sud,3 chambres,"101,5m²",1 710 000 €,"Bel appartement en duplex de 101 m² situé en rez-de-Seine dans un immeuble Art Déco entièrement rénové. Il se compose d'une très belle pièce de vie de plus de 40 m² avec une cuisine ouverte, de trois grandes chambres, d'une salle de bains ainsi que d'une salle de douche. L'ensemble est baigné de lumière et de finitions haut de gamme. Profitez d'une vue sur le parc de Passy ainsi que de tous les services tels que la conciergerie, la salle de sport et bien d'autres encore.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Au -1ème étage,Non reference,Ascenseur,Vue,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Gardien,Non reference,Refait à neuf,Parquet,Cuisine américaine,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Porte Dauphine,2 chambres,148m²,3 620 000 €,"Paris 16ème – Avenue Foch. Dans un bel immeuble Art Déco de grand standing, penthouse, seul à l'étage de 148 m² entouré de balcons-terrasses sur plusieurs niveaux d'environ 76m². Il se compose d'un séjour ouvrant sur une terrasse de plain-pied, d'une salle à manger, d'une cuisine, d'un bureau et de deux suites. La terrasse offre une vue imprenable sur Paris et ses monuments. Une cave et un box complètent à ce bien. Paris Ouest Sotheby's International Realty.",Non reference,2 Salles de bain,2 Toilettes,Année de construction 1930,Au 9ème étage,Bâtiment de 9 étages,Ascenseur,Vue,Cave,1 Parking,Non reference,Non reference,Non reference,3 Terrasses,Gardien,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Muette Nord,2 chambres,72m²,880 000 €,"RUE FELICIEN DAVID. 2 CHAMBRES. Rue FELICIEN DAVID. Au cinquième étage d'un immeuble signé GINSBERG (école Le CORBUSIER), appartement en parfait état, composé comme suit: Une entrée desservant un séjour, une cuisine aménagée et équipée, deux chambres, une salle de bains, dressing, toilettes séparées, nombreux rangements, très beau parquet VERSAILLES. Une cave complète cette offre. Possibilité de parking. Emplacement idéal au calme, mais proche des commerces de la rue d'Auteuil. Sectorisation Jean Baptiste SAY.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1959,Au 5ème étage,Bâtiment de 8 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Auteuil Nord,1 chambre,43m²,570 000 €,"Exclusivité - Paris 16 - Jasmin / Avenue Mozart - 1 chambre Situé au 4ème étage par ascenseur d'un immeuble de l'année 1963, à quelques mètres de la rue du Docteur Blanche, un bel appartement de 43m² comprenant une entrée, un séjour/salle à manger, une cuisine indépendante meublée et équipée, une chambre avec rangements et une salle de bains. Ce bien rénové bénéficie d'un belle luminosité et d'un plan sans perte de place. Une cave complète ce bien de qualité. Capucine FERONT - + 33 (0) 617157243.",Non reference,Non reference,Non reference,Non reference,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,2 pièces
Maison / Villa,Quartier Porte Dauphine,4 chambres,245m²,4 850 000 €,"Dans une voie Privée, sécurisée,",2 Salles d'eau,3 Salles de bain,4 Toilettes,Année de construction 1877,Non reference,Non reference,Non reference,Non reference,20m² Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,10 pièces
Appartement,Quartier Muette Nord,2 chambres,72m²,880 000 €,"RUE FELICIEN DAVID. 2 CHAMBRES. Rue FELICIEN DAVID. Au cinquième étage d'un immeuble signé GINSBERG (école Le CORBUSIER), appartement en parfait état, composé comme suit: Une entrée desservant un séjour, une cuisine aménagée et équipée, deux chambres, une salle de bains, dressing, toilettes séparées, nombreux rangements, très beau parquet VERSAILLES. Une cave complète cette offre. Possibilité de parking. Emplacement idéal au calme, mais proche des commerces de la rue d'Auteuil. Sectorisation Jean Baptiste SAY.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1959,Au 5ème étage,Bâtiment de 8 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
